ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '224.0.0.251', 'protocol': 'UDP', 'src_p': 5353, 'dst_p': 5353, 'timestamp': '2025-05-11 17:15:35.552345'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '224.0.0.251', 'protocol': 'UDP', 'src_p': 5353, 'dst_p': 5353, 'timestamp': '2025-05-11 17:15:35.803558'}
ANOMALY DETECTED: {'src_ip': '162.159.138.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 59334, 'timestamp': '2025-05-11 17:15:36.026894'}
ANOMALY DETECTED: {'src_ip': '162.159.133.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60097, 'timestamp': '2025-05-11 17:15:36.059888'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'protocol': 'UDP', 'src_p': 51143, 'dst_p': 1900, 'timestamp': '2025-05-11 17:15:36.130615'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.120.52.64', 'protocol': 'TCP', 'src_p': 59708, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:36.521414'}
ANOMALY DETECTED: {'src_ip': '162.159.133.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60097, 'timestamp': '2025-05-11 17:15:45.945112'}
ANOMALY DETECTED: {'src_ip': '162.159.133.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60097, 'timestamp': '2025-05-11 17:15:46.915121'}
THREAT DETECTED: {'src_ip': '162.159.133.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60097, 'timestamp': '2025-05-11 17:15:46.942007'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.39.42', 'protocol': 'UDP', 'src_p': 60620, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:49.256668'}
